,AtomicNum,Degree,TotalNumHs,ImplicitValence,Hybridization,FormalCharge,IsInRing,IsAromatic,NumRadicalElectrons
1,0.08571594953536987,0.08571594953536987,0.11644917726516724,0.19147108495235443,0.15636341273784637,0.08571594953536987,0.08571594953536987,0.10713672637939453,0.08571594953536987
2,0.08566603809595108,0.08566603809595108,0.11691325902938843,0.19021640717983246,0.15711718797683716,0.08566603809595108,0.08566603809595108,0.1074230819940567,0.08566603809595108
3,0.08537261933088303,0.08537261933088303,0.11727738380432129,0.18423143029212952,0.1624915450811386,0.08537261933088303,0.08537261933088303,0.10913664847612381,0.08537261933088303
4,0.08629272878170013,0.08629272878170013,0.11767515540122986,0.18518392741680145,0.15808440744876862,0.08629272878170013,0.08629272878170013,0.10759294033050537,0.08629272878170013
5,0.085101418197155,0.085101418197155,0.116851806640625,0.1868918389081955,0.16404883563518524,0.085101418197155,0.085101418197155,0.10670054703950882,0.085101418197155
6,0.08553646504878998,0.08553646504878998,0.11606109887361526,0.18665236234664917,0.1628289520740509,0.08553646504878998,0.08553646504878998,0.10677541047334671,0.08553646504878998
7,0.08571430295705795,0.08571430295705795,0.11599497497081757,0.1891367882490158,0.15904513001441956,0.08571430295705795,0.08571430295705795,0.10725177824497223,0.08571430295705795
8,0.08512432873249054,0.08512432873249054,0.11637793481349945,0.18919242918491364,0.16228264570236206,0.08512432873249054,0.08512432873249054,0.1065254658460617,0.08512432873249054
9,0.08623360097408295,0.08623360097408295,0.11235114932060242,0.19168628752231598,0.15708044171333313,0.08623360097408295,0.08623360097408295,0.10771427303552628,0.08623360097408295
10,0.08610145002603531,0.08610145002603531,0.11299479752779007,0.19202397763729095,0.1576143205165863,0.08610145002603531,0.08610145002603531,0.10685977339744568,0.08610145002603531
11,0.08500231802463531,0.08500231802463531,0.12039891630411148,0.18503634631633759,0.16178178787231445,0.08500231802463531,0.08500231802463531,0.10777150094509125,0.08500231802463531
12,0.08656684309244156,0.08656684309244156,0.11767104268074036,0.17922168970108032,0.16041222214698792,0.08656684309244156,0.08656684309244156,0.10986093431711197,0.08656684309244156
13,0.08761151134967804,0.08761151134967804,0.11284622550010681,0.18956543505191803,0.15008410811424255,0.08761151134967804,0.08761151134967804,0.10944683104753494,0.08761151134967804
14,0.08723434060811996,0.08723434060811996,0.11682535707950592,0.18680228292942047,0.1519962102174759,0.08723434060811996,0.08723434060811996,0.10820457339286804,0.08723434060811996
15,0.08461285382509232,0.08461285382509232,0.11544963717460632,0.18779148161411285,0.16612368822097778,0.08461285382509232,0.08461285382509232,0.1075710728764534,0.08461285382509232
16,0.08604121208190918,0.08604121208190918,0.11532088369131088,0.19408899545669556,0.15373820066452026,0.08604121208190918,0.08604121208190918,0.10664595663547516,0.08604121208190918
17,0.0881771594285965,0.0881771594285965,0.11065849661827087,0.19838500022888184,0.142935112118721,0.0881771594285965,0.0881771594285965,0.10713572800159454,0.0881771594285965
